Timestamp,Sum of Losses,Number of Nodes,Average Data Quantity,Training Data Size
2024-12-16T03:21:27Z,199254.213768,255,2258.581395,291357
2024-12-16T03:25:01Z,199353.999728,257,2240.769231,291300
2024-12-16T03:28:34Z,199036.158281,259,2223.656489,291299
2024-12-16T03:32:06Z,199200.235474,261,2206.689394,291283
2024-12-16T03:35:25Z,199280.690945,263,2190.082707,291281
2024-12-16T03:37:58Z,199364.896561,265,2173.731343,291280
2024-12-16T03:46:08Z,199486.334038,267,2157.622222,291279
2024-12-16T03:48:43Z,199444.820728,269,2141.742647,291277
2024-12-16T03:56:21Z,199473.488156,271,2126.102190,291276
2024-12-16T03:59:19Z,199619.016350,273,2110.623188,291266
2024-12-16T04:16:40Z,199647.774780,275,2095.431655,291265
2024-12-16T04:18:58Z,199784.474008,277,2080.450000,291263
2024-12-16T04:21:19Z,199495.188313,279,2065.602837,291250
2024-12-16T06:00:26Z,199458.732997,281,2051.049296,291249
2024-12-16T06:04:18Z,199401.150304,283,2036.699301,291248
2024-12-16T06:43:30Z,198707.522651,285,2022.513889,291242
2024-12-16T06:47:27Z,198762.085954,287,2008.537931,291238
2024-12-16T07:22:02Z,199064.970547,289,1994.773973,291237
2024-12-16T07:26:01Z,197883.431735,291,1981.190476,291235
2024-12-16T20:09:19Z,197924.178726,293,1967.783784,291232
2024-12-16T20:11:22Z,198616.838131,295,1954.557047,291229
2024-12-16T20:13:26Z,198367.549559,297,1941.500000,291225
2024-12-16T20:35:30Z,199170.479217,299,1927.331126,291027
2024-12-16T20:37:44Z,199520.661288,301,1914.631579,291024
2024-12-16T20:40:04Z,198812.531557,303,1902.104575,291022
2024-12-16T20:42:43Z,198564.337986,305,1889.746753,291021
2024-12-16T20:45:20Z,198668.805999,307,1877.458065,291006
2024-12-16T20:47:50Z,199048.720237,309,1865.403846,291003
2024-12-16T20:50:12Z,198765.884295,311,1853.515924,291002
2024-12-16T20:52:24Z,198312.507347,313,1841.753165,290997
2024-12-16T21:24:30Z,198512.759066,315,1830.132075,290991
2024-12-16T21:26:33Z,198538.028052,317,1818.656250,290985
2024-12-16T21:28:48Z,198941.656960,319,1806.881988,290908
2024-12-16T23:37:30Z,199124.042217,321,1795.716049,290906
2024-12-16T23:40:10Z,198573.558483,323,1784.680982,290903
2024-12-16T23:42:49Z,198049.788909,325,1771.969512,290603
2024-12-16T23:46:14Z,198439.666338,327,1761.187879,290596
2024-12-16T23:49:45Z,198704.187686,329,1750.500000,290583
2024-12-16T23:53:19Z,198051.209546,331,1740.000000,290580
2024-12-16T23:56:49Z,198373.499783,333,1729.636905,290579
2024-12-17T00:00:20Z,199298.018614,335,1719.094675,290527
2024-12-17T00:03:52Z,198965.113764,337,1708.847059,290504
2024-12-17T00:07:25Z,198468.299714,339,1698.847953,290503
2024-12-17T00:11:01Z,198581.802113,341,1688.959302,290501
2024-12-17T00:14:32Z,198930.517097,343,1679.179191,290498
2024-12-17T00:18:04Z,198667.553302,345,1669.143678,290431
2024-12-17T00:21:34Z,198424.292087,347,1659.600000,290430
2024-12-17T00:25:10Z,198664.715100,349,1650.056818,290410
2024-12-17T00:28:41Z,198114.765309,351,1638.881356,290082
2024-12-17T00:32:12Z,197909.733364,353,1629.662921,290080
2024-12-17T00:35:43Z,198349.607834,355,1620.530726,290075
2024-12-17T00:39:14Z,197732.063748,357,1611.500000,290070
2024-12-17T00:42:46Z,196870.023298,359,1602.591160,290069
2024-12-17T00:46:25Z,196853.257172,361,1593.774725,290067
2024-12-17T00:50:04Z,197791.405352,363,1585.043716,290063
2024-12-17T00:53:35Z,197684.185184,365,1576.423913,290062
2024-12-17T00:57:06Z,197778.456048,367,1567.881081,290058
2024-12-17T01:00:38Z,198420.117741,369,1559.440860,290056
2024-12-17T01:04:09Z,198317.777429,371,1551.085561,290053
2024-12-17T01:07:40Z,198123.109816,373,1542.829787,290052
2024-12-17T01:11:11Z,198018.243737,375,1534.629630,290045
2024-12-17T01:14:41Z,197539.562884,377,1525.763158,289895
2024-12-17T01:18:17Z,197224.900560,379,1517.743455,289889
2024-12-17T01:21:49Z,197975.839518,381,1509.609375,289845
2024-12-17T01:25:19Z,197751.731720,383,1500.715026,289638
2024-12-17T01:28:50Z,196909.933603,385,1492.974227,289637
2024-12-17T01:32:20Z,196822.172589,387,1485.297436,289633
2024-12-17T01:35:53Z,197703.301778,389,1477.714286,289632
2024-12-17T01:39:22Z,198199.429556,391,1470.197970,289629
