Timestamp,Sum of Losses,Number of Nodes,Average Data Quantity,Training Data Size
2024-12-18T00:08:20Z,247779.371124,425,1578.280374,337752
2024-12-18T00:11:29Z,246894.955843,427,1570.925581,337749
2024-12-18T00:14:37Z,246731.062417,429,1563.305556,337674
2024-12-18T00:17:45Z,247751.524730,431,1556.087558,337671
2024-12-18T00:20:49Z,247853.324289,433,1548.944954,337670
2024-12-18T00:33:52Z,245974.650593,435,1541.863014,337668
2024-12-18T00:36:46Z,246595.313874,437,1534.836364,337664
2024-12-18T01:30:33Z,248016.151773,439,1527.864253,337658
2024-12-18T01:34:07Z,247542.586232,441,1520.932432,337647
2024-12-18T01:53:06Z,248124.997040,443,1513.726457,337561
2024-12-18T01:57:05Z,247554.703671,445,1506.910714,337548
2024-12-18T02:01:04Z,246549.003191,447,1499.844444,337465
2024-12-18T02:05:03Z,246809.060528,449,1493.203540,337464
2024-12-18T02:09:00Z,248120.582109,451,1486.616740,337462
2024-12-18T02:13:00Z,247651.412660,453,1480.057018,337453
2024-12-18T02:16:58Z,246798.043525,455,1473.580786,337450
2024-12-18T02:20:58Z,247391.285594,457,1466.317391,337253
2024-12-18T02:24:58Z,247131.913204,459,1459.735931,337199
2024-12-18T02:28:56Z,247055.574067,461,1453.431034,337196
2024-12-18T02:32:55Z,247635.771334,463,1447.141631,337184
2024-12-18T02:36:54Z,247837.137641,465,1440.910256,337173
2024-12-18T02:40:53Z,248154.803383,467,1434.774468,337172
2024-12-18T02:44:52Z,248130.917489,469,1428.652542,337162
2024-12-18T02:48:51Z,246823.036411,471,1422.599156,337156
2024-12-18T02:52:50Z,246797.349567,473,1416.617647,337155
2024-12-18T02:56:48Z,247455.911031,475,1410.686192,337154
2024-12-18T03:00:46Z,245909.506852,477,1404.637500,337113
2024-12-18T03:04:44Z,244991.016158,479,1398.804979,337112
2024-12-18T03:08:43Z,246147.518463,481,1393.020661,337111
2024-12-18T03:12:44Z,247566.463730,483,1387.259259,337104
2024-12-18T03:16:42Z,247382.886142,485,1381.557377,337100
2024-12-18T03:20:41Z,246597.068725,487,1375.902041,337096
2024-12-18T03:24:39Z,246240.942561,489,1370.288618,337091
2024-12-18T03:33:37Z,246475.810387,491,1364.174089,336951
2024-12-18T03:37:38Z,247150.161595,493,1358.645161,336944
2024-12-18T03:41:36Z,247151.760390,495,1353.128514,336929
2024-12-18T03:45:37Z,247240.053061,497,1347.688000,336922
2024-12-18T03:49:34Z,246338.946319,499,1341.737052,336776
2024-12-18T03:53:32Z,246064.000392,501,1336.365079,336764
2024-12-18T03:57:31Z,247233.575070,503,1331.059289,336758
2024-12-18T04:01:17Z,237193.465808,505,1273.909449,323573
2024-12-18T04:05:07Z,236150.300613,507,1268.792157,323542
2024-12-18T04:08:55Z,236072.422683,509,1263.726562,323514
2024-12-18T04:12:21Z,235190.164550,511,1258.785992,323508
2024-12-18T04:15:33Z,235436.037570,513,1253.821705,323486
2024-12-18T04:24:20Z,236171.614500,515,1248.976834,323485
2024-12-18T04:28:07Z,235960.747960,517,1244.130769,323474
2024-12-18T04:31:55Z,235369.534751,519,1238.942529,323364
2024-12-18T04:35:43Z,235833.293820,521,1233.942748,323293
2024-12-18T04:39:29Z,235662.023388,523,1228.585551,323118
2024-12-18T04:43:15Z,235335.431419,525,1223.928030,323117
2024-12-18T04:46:55Z,235725.289224,527,1219.294340,323113
2024-12-18T04:50:22Z,235152.707095,529,1213.657895,322833
2024-12-18T04:54:10Z,234957.798826,531,1209.097378,322829
2024-12-18T04:57:54Z,235512.492048,533,1204.559701,322822
2024-12-18T05:01:41Z,235512.474583,535,1200.074349,322820
2024-12-18T05:05:26Z,233957.918255,537,1189.592593,321190
2024-12-18T05:09:10Z,233481.859447,539,1185.180812,321184
2024-12-18T05:12:55Z,233330.840587,541,1180.816176,321182
2024-12-18T05:16:42Z,233491.522019,543,1176.487179,321181
2024-12-18T05:20:30Z,233519.447317,545,1172.178832,321177
2024-12-18T05:23:54Z,233330.410341,547,1167.912727,321176
2024-12-18T05:27:03Z,232915.483849,549,1163.655797,321169
2024-12-18T05:30:45Z,232837.098152,551,1159.411552,321157
2024-12-18T05:34:24Z,232817.752781,553,1155.230216,321154
2024-12-18T05:37:34Z,233754.590279,555,1151.082437,321152
2024-12-18T05:40:38Z,234035.622392,557,1146.564286,321038
2024-12-18T05:58:21Z,232971.598321,559,1142.480427,321037
2024-12-18T06:01:15Z,232910.114589,561,1137.968085,320907
2024-12-18T06:13:59Z,233608.420605,563,1133.904594,320895
2024-12-18T06:16:48Z,233304.489999,565,1129.816901,320868
2024-12-18T06:20:03Z,232862.024745,567,1125.785965,320849
2024-12-18T06:23:26Z,233312.308534,569,1121.804196,320836
2024-12-18T06:36:56Z,233406.966210,571,1117.891986,320835
2024-12-18T06:40:19Z,233422.985527,573,1113.923611,320810
2024-12-18T06:43:38Z,233131.423967,575,1110.044983,320803
2024-12-18T06:46:27Z,233114.741155,577,1106.096552,320768
2024-12-18T06:54:27Z,233028.008296,579,1102.240550,320752
2024-12-18T06:57:29Z,233002.531685,581,1098.414384,320737
2024-12-18T07:05:37Z,233343.799048,583,1094.658703,320735
2024-12-18T07:08:21Z,233288.755182,585,1090.914966,320729
2024-12-18T07:11:00Z,234031.959448,587,1087.135593,320705
2024-12-18T07:14:00Z,233897.461351,589,1083.456081,320703
2024-12-18T07:26:51Z,233789.549453,591,1079.484848,320607
2024-12-18T07:29:35Z,233575.549839,593,1075.832215,320598
2024-12-18T07:37:35Z,233366.380841,595,1072.207358,320590
2024-12-18T07:40:38Z,233331.793801,597,1068.630000,320589
2024-12-18T08:03:45Z,233083.723221,599,1065.076412,320588
